category,mean,std,coefficient_of_variation,skewness,kurtosis,zero_demand_pct,lag_1,lag_7,lag_14,lag_30,lag_365
M01AB,5.033683325419753,2.737578507424411,0.5438519530221197,0.6423125146932736,0.5900347612352355,1.899335232668566,0.052260658387396415,0.0894262712585371,0.09458066312923491,0.057810198794788756,0.09039994311751778
M01AE,3.8958303161600187,2.133336599242324,0.5475948452870705,0.7183773911233339,0.8918244313758756,1.7094017094017095,0.09853425044128997,0.11582805822204653,0.12570265722672386,0.035378747723520086,0.06445100718309416
N02BA,3.880441120608262,2.384010236621129,0.6143657802099143,0.8494966517034442,1.18755127815154,3.7037037037037033,0.11789934075694374,0.13844751543778067,0.12397813533094419,0.11579709806267291,0.11445241297837243
N02BE,29.917095303105413,15.590965539762392,0.5211390137245056,1.2022913022940067,3.41898212901041,1.2345679012345678,0.4407947413060306,0.47319710837394896,0.4223142929593946,0.21999838528215412,0.27748511545343896
N05B,8.853626543196107,5.60560474692992,0.6331422180030568,1.3248404047016233,4.022887927179753,2.0417853751187085,0.26963141924714545,0.23294999806009292,0.23533227024334788,0.13775692754402227,0.05698687705848258
N05C,0.5935224754667616,1.0929883200525337,1.8415281058951962,2.5204678594998904,8.763071581981913,67.90123456790124,0.011276616343865191,0.06264423177899431,0.007658163918916559,0.0316213391841302,0.022710817299880545
R03,5.512261593861349,6.428736372389844,1.166261118584995,1.8297462424157656,4.015505417865299,22.981956315289647,0.1470069957132128,0.14030757880330308,0.07867717479467222,0.08988991379409174,0.07734293692689277
R06,2.90019824311491,2.415815904650415,0.8329830246554966,1.2928132360629554,1.989410302497725,12.155745489078823,0.35363669561163147,0.3319577009427418,0.3176455853346994,0.23975122498088722,0.3112836586890123
