category,model,MAE,RMSE,sMAPE,WAPE,MASE,historical_mean,historical_std,recent_30d_mean,forecast_30d_mean,forecast_min,forecast_max,forecast_vs_recent_ratio,forecast_change_pct,status,business_interpretation,historical_start,historical_end,forecast_start,forecast_end
M01AB,LightGBM,2.257832603450176,2.865834732384605,44.77526036590431,42.17016426704183,0.7615473992627889,5.033683325419753,2.737578507424411,5.424333333333334,6.1149194732782615,4.415609321218535,7.425209154879383,1.1273126294988498,12.73126294988498,OK,Forecast broadly aligned with recent demand.,2014-01-02,2019-10-08,2019-10-09,2019-11-07
M01AE,SARIMA,1.6869461000266728,2.1025218191331088,47.08587768930612,44.72675770814587,0.7608136622854974,3.8958303161600183,2.133336599242324,3.9203333333333337,3.891802313499948,3.5506733739252168,4.688706064851592,0.9927222974661885,-0.7277702533811548,OK,Forecast broadly aligned with recent demand.,2014-01-02,2019-10-08,2019-10-09,2019-11-07
N02BA,SARIMA,1.6432731265404634,2.0465831201731883,54.62877176851189,49.57410791736035,0.634635689522933,3.880441120608262,2.384010236621129,3.1133333333333337,2.958912875157237,2.889239262328568,3.0280637012536142,0.9504002810997548,-4.9599718900245175,OK,Forecast broadly aligned with recent demand.,2014-01-02,2019-10-08,2019-10-09,2019-11-07
N02BE,LightGBM,8.614190611119247,11.28591833006147,32.769040317881014,32.125550343668706,0.6920226407847979,29.917095303105413,15.590965539762392,36.92916666666667,33.22828096864945,25.88492015803562,43.95018165424369,0.8997842076583401,-10.021579234165989,OK,Forecast broadly aligned with recent demand.,2014-01-02,2019-10-08,2019-10-09,2019-11-07
N05B,SARIMA,3.684704643620363,4.699406455739252,48.86798495164496,45.96189141637119,0.6807796056366073,8.853626543196107,5.60560474692992,8.486666666666666,8.927551932534897,6.767875290421922,10.805059564677196,1.0519503455461388,5.195034554613875,OK,Forecast broadly aligned with recent demand.,2014-01-02,2019-10-08,2019-10-09,2019-11-07
N05C,LightGBM,0.8213322364626914,1.1394002970108397,155.1970190288247,115.87443984689862,0.9604502239012316,0.5935224754667616,1.0929883200525337,0.5333333333333333,1.0629123411112664,0.3572347362035449,1.8400179313648737,1.9929606395836248,99.29606395836248,INTERMITTENT_DEMAND_REVIEW,Intermittent low-volume demand; forecast requires review.,2014-01-02,2019-10-08,2019-10-09,2019-11-07
R03,SARIMA,5.069203838683694,6.561802099746477,90.8113502897491,84.7234493508389,0.9362294123673346,5.512261593861349,6.428736372389844,4.613888888900001,4.378280036553814,3.792995763302416,4.669439978376548,0.9489348664392396,-5.106513356076037,OK,Forecast broadly aligned with recent demand.,2014-01-02,2019-10-08,2019-10-09,2019-11-07
R06,SARIMA,1.7195976611884438,2.1487064201420485,66.91111178731904,60.98381968493262,0.8629286075664493,2.90019824311491,2.415815904650415,2.9243333333333337,2.0941262911238536,2.0654539276186585,2.1469125586196136,0.7161038268974763,-28.38961731025237,MODERATE_CHANGE,Forecast moderately below recent demand.,2014-01-02,2019-10-08,2019-10-09,2019-11-07
