category,fold,train_end,horizon,model,MAE,RMSE,MAPE,sMAPE,WAPE,MASE
M01AB,17,1480,30,Naive,2.4756666666666662,3.0606148619735434,82.37411045262253,66.57140476415766,56.768325307651146,0.8701355792542694
M01AB,18,1510,30,Naive,3.1556666666666664,3.9797056005019598,62.04319796008002,100.74543473828699,75.93647228683726,1.1083131464038354
M01AB,19,1540,30,Naive,3.534,4.374621507437339,59.3872516936545,89.22700740701697,66.25421822272216,1.24352741437069
M01AB,20,1570,30,Naive,2.454333333333333,2.86789760393684,66.12714940925521,48.07207460620088,43.13668053195852,0.8663963719122617
M01AB,21,1600,30,Naive,3.3329999999999997,3.7650157148853087,109.54508390856901,63.35506562185258,66.36357602707903,1.1673507063436308
M01AB,22,1630,30,Naive,2.3609999999999998,2.89653413582509,69.77919943657297,57.924363496120115,53.1876548772246,0.8256068859771581
M01AB,23,1660,30,Naive,2.9216666666666673,3.3310764026062207,99.13256106100798,58.18865071333021,61.651543926285434,1.0204616415095644
M01AB,24,1690,30,Naive,2.4316666666666666,2.863938430436893,84.00395176311731,48.60144962471098,49.73072465744085,0.8478311310299803
M01AB,25,1720,30,Naive,2.305333333333334,2.9513623972667267,42.1055728522512,51.41697599751267,47.41532976827096,0.8038133802125172
M01AB,26,1750,30,Naive,3.069,4.111427570402605,46.15952323783855,66.13045534628424,57.31092436974789,1.0693835841455082
M01AB,27,1780,30,Naive,3.841,4.402961503352034,123.12961980502169,68.37636487684235,85.56471374470928,1.3360231521870245
M01AB,28,1810,30,Naive,4.7813333333333325,5.536261674933125,83.6908630409395,131.31838891251107,83.0573248407643,1.6616838871054125
M01AB,29,1840,30,Naive,2.6369999999999996,3.3812497689463874,46.22057189642984,47.27069285839715,43.53161283222362,0.9110917245124264
M01AB,30,1870,30,Naive,2.3710000000000004,3.4438539457996757,66.55239531299938,60.91268153659575,54.551729427103325,0.819001056853891
M01AB,31,1900,30,Naive,3.550000000000001,3.932818327866163,107.08765788702839,58.4888616410257,73.43814646255692,1.230045009124611
M01AB,32,1930,30,Naive,2.7293333333333343,3.843610282013513,48.54587991400399,54.94531156529874,49.24816552387829,0.9478312272456985
M01AB,33,1960,30,Naive,2.3719999999999994,3.067619055011014,86.37449345571386,49.1176982407146,43.69397028122312,0.817215836556317
M01AB,34,1990,30,Naive,2.456666666666666,3.2190267680361613,43.13201043112225,51.127277498556076,46.25910118001505,0.8479925126839738
M01AB,35,2020,30,Naive,2.3713333333333333,2.913324561390302,59.751691457023966,44.1261489959944,38.416675666918664,0.8180407327159944
M01AB,36,2050,30,Naive,3.547666666666666,4.124411473168021,129.04284810528782,62.06186736243853,67.94994573197981,1.2180708636937672
M01AB,1,1000,30,Seasonal Naive,3.552333333333334,4.257026740186943,79.01807268626447,65.44831165231822,57.568063958513385,1.2946099924148435
M01AB,2,1030,30,Seasonal Naive,2.7325555555666656,3.6694374884301126,66.95649380730406,44.99526893215246,47.206173100279834,0.9896731305769032
M01AB,3,1060,30,Seasonal Naive,2.749,3.4371960471679044,71.41526575599819,63.81484831060338,52.58560224446852,0.9887205743718661
M01AB,4,1090,30,Seasonal Naive,3.0873472222999996,4.080014093866816,204.282810809183,59.837451060817926,51.51576951987798,1.110084608253232
M01AB,5,1120,30,Seasonal Naive,2.2605555556,2.8312035214366453,42.278476429265986,43.380024674130546,38.732092714028404,0.8154213918243879
M01AB,6,1150,30,Seasonal Naive,2.544333333333334,3.3446798551331236,58.741967502761725,54.29199955076726,45.97915788205531,0.9193255519157102
M01AB,7,1180,30,Seasonal Naive,4.080333333333333,4.836692740568359,183.0832220643672,85.94964286643338,76.92452711619431,1.4711263132229964
M01AB,8,1210,30,Seasonal Naive,3.3586666666666662,4.179973684127688,186.21354999071076,70.43783099521792,76.14873035066505,1.1974134175509452
M01AB,9,1240,30,Seasonal Naive,2.5750000000000006,3.047762567305181,116.07638681742311,63.05958267219004,66.32039835164836,0.918425348546547
M01AB,10,1270,30,Seasonal Naive,2.7573333333333334,3.4650733517969474,59.621731960024604,71.95342871724083,55.14299046730217,0.9819971106498937
M01AB,11,1300,30,Seasonal Naive,2.7565000000000004,3.417804485338505,70.17038840569319,56.21465138405498,58.258480397336996,0.977716447089468
M01AB,12,1330,30,Seasonal Naive,2.3626666666666662,3.4054211682746867,60.92829045219437,44.79507242023188,41.85414821375847,0.8376057901785334
M01AB,13,1360,30,Seasonal Naive,2.829,3.585003486748653,120.08091475336298,61.02379183053763,65.20937379946216,1.0000706316790482
M01AB,14,1390,30,Seasonal Naive,2.6013333333333333,3.642984124770973,79.62206649556617,54.77335056506978,51.009869926138954,0.9176500596439598
M01AB,15,1420,30,Seasonal Naive,3.5153333333333325,4.8984745924964574,105.25111482269412,65.62538652688495,75.94699697537085,1.2364387505758379
M01AB,16,1450,30,Seasonal Naive,4.099666666666668,4.762272916720894,79.2634686847884,102.93488749454609,74.11268454353723,1.4446032876558579
M01AB,17,1480,30,Seasonal Naive,2.596333333333333,3.236387389255701,174.16601497410426,60.401795003442324,59.53527478407092,0.9125469269976443
M01AB,18,1510,30,Seasonal Naive,2.7916666666666665,3.4411098015998656,77.00541554736898,73.13398319752568,67.17734819924601,0.9804713849299801
M01AB,19,1540,30,Seasonal Naive,2.590333333333333,3.543734847116339,45.58574849374229,56.13018920857606,48.56267966504187,0.9114743951211689
M01AB,20,1570,30,Seasonal Naive,3.075666666666666,3.6794868301616916,86.51069212804646,60.81924577121121,54.05706251098482,1.0857312676401518
M01AB,21,1600,30,Seasonal Naive,2.4096666666666664,3.4504313739975565,47.58426323362947,52.114014490930295,47.9790270126767,0.8439622218379944
M01AB,22,1630,30,Seasonal Naive,3.773,4.706244433374309,131.16627883491233,95.44553145158993,84.99662086055419,1.319362465392553
M01AB,23,1660,30,Seasonal Naive,3.739,4.331966066349089,86.17695938083469,97.03504647498916,78.89850179362735,1.3059347670065924
M01AB,24,1690,30,Seasonal Naive,2.7003333333333335,3.4726517245471076,64.04314579621881,53.897724163413706,55.22530506510327,0.9415051394755135
M01AB,25,1720,30,Seasonal Naive,2.7606666666666664,3.38655774103046,69.39342235124296,52.55339796840044,56.78047442753326,0.9625769830711488
M01AB,26,1750,30,Seasonal Naive,3.1319999999999997,3.957126903870197,66.37907632172269,61.866734305300874,58.48739495798318,1.0913357398317793
