model,MAE,RMSE,sMAPE,WAPE,MASE
LightGBM,3.3385566624306673,4.333746804097067,66.46426673774647,58.913125585381266,0.8211402755851522
XGBoost,3.8117061084057955,4.649846781365931,68.80544730744096,64.90865098465441,0.9043892890884353
