datum,category,model,forecast
2019-10-10,N05B,SARIMA,9.167800477113055
2019-10-11,N05B,SARIMA,9.407535795466071
2019-10-12,N05B,SARIMA,8.3707556032586
2019-10-13,N05B,SARIMA,6.767875290421922
2019-10-14,N05B,SARIMA,9.075916508879084
2019-10-15,N05B,SARIMA,9.785995079819562
2019-10-16,N05B,SARIMA,9.442154799291265
2019-10-17,N05B,SARIMA,8.995832713921466
2019-10-18,N05B,SARIMA,9.390318242620149
2019-10-19,N05B,SARIMA,8.385715689720067
2019-10-20,N05B,SARIMA,6.802804342924924
2019-10-21,N05B,SARIMA,9.086541917129104
2019-10-22,N05B,SARIMA,9.789077569799499
2019-10-23,N05B,SARIMA,9.448921205177038
2019-10-24,N05B,SARIMA,9.007373099141764
2019-10-25,N05B,SARIMA,9.39764003576727
2019-10-26,N05B,SARIMA,8.403780938693032
2019-10-27,N05B,SARIMA,6.837797594228698
2019-10-28,N05B,SARIMA,9.097112379649126
2019-10-29,N05B,SARIMA,9.792134962442764
2019-10-30,N05B,SARIMA,9.455616304382096
2019-10-31,N05B,SARIMA,9.018790210361368
2019-11-01,N05B,SARIMA,9.404883547014146
2019-11-02,N05B,SARIMA,8.421652996483996
2019-11-03,N05B,SARIMA,6.8724166203906165
2019-11-04,N05B,SARIMA,9.107569799376844
2019-11-05,N05B,SARIMA,9.795159658666567
2019-11-06,N05B,SARIMA,9.462239804732837
2019-11-07,N05B,SARIMA,9.030085224496743
2019-10-09,N05C,LightGBM,0.5383320909809546
2019-10-10,N05C,LightGBM,0.6899470044984687
2019-10-11,N05C,LightGBM,0.692201463218928
2019-10-12,N05C,LightGBM,0.6554014367227353
2019-10-13,N05C,LightGBM,0.35723473620354496
2019-10-14,N05C,LightGBM,0.9256155524192938
2019-10-15,N05C,LightGBM,1.0775515446844879
2019-10-16,N05C,LightGBM,0.8419041370820092
2019-10-17,N05C,LightGBM,1.4091905929949236
2019-10-18,N05C,LightGBM,1.0007138925248562
2019-10-19,N05C,LightGBM,0.9212799991711572
2019-10-20,N05C,LightGBM,0.6764151142782469
2019-10-21,N05C,LightGBM,1.0417212466504153
2019-10-22,N05C,LightGBM,1.2412874165700605
2019-10-23,N05C,LightGBM,0.563378356735514
2019-10-24,N05C,LightGBM,1.1017176768772232
2019-10-25,N05C,LightGBM,0.9847697207812349
2019-10-26,N05C,LightGBM,1.0393661530631344
2019-10-27,N05C,LightGBM,1.2087888556645547
2019-10-28,N05C,LightGBM,1.1985597718571668
2019-10-29,N05C,LightGBM,1.8400179313648737
2019-10-30,N05C,LightGBM,1.6095216409564674
2019-10-31,N05C,LightGBM,1.1480665588800312
2019-11-01,N05C,LightGBM,1.2734660553791952
2019-11-02,N05C,LightGBM,1.2839939925424118
2019-11-03,N05C,LightGBM,1.4314054221387347
2019-11-04,N05C,LightGBM,1.5652885745547516
2019-11-05,N05C,LightGBM,1.2642877171619062
2019-11-06,N05C,LightGBM,1.2770205272544706
2019-11-07,N05C,LightGBM,1.028925050126238
2019-10-09,R03,SARIMA,4.207323655147758
2019-10-10,R03,SARIMA,3.7929957633024163
2019-10-11,R03,SARIMA,4.27771886155161
2019-10-12,R03,SARIMA,4.322596400702389
2019-10-13,R03,SARIMA,4.489057068674635
2019-10-14,R03,SARIMA,4.601980796919185
2019-10-15,R03,SARIMA,4.0428202688929735
2019-10-16,R03,SARIMA,4.46031431192126
2019-10-17,R03,SARIMA,4.669439978376548
2019-10-18,R03,SARIMA,4.459560921130462
2019-10-19,R03,SARIMA,4.440085294405045
2019-10-20,R03,SARIMA,4.367797431148839
2019-10-21,R03,SARIMA,4.318758546255615
2019-10-22,R03,SARIMA,4.561582729624384
2019-10-23,R03,SARIMA,4.380279427755758
2019-10-24,R03,SARIMA,4.289463344346909
2019-10-25,R03,SARIMA,4.3806065994610215
2019-10-26,R03,SARIMA,4.389064194222659
2019-10-27,R03,SARIMA,4.420456326667247
2019-10-28,R03,SARIMA,4.441752227530257
2019-10-29,R03,SARIMA,4.336302037391916
2019-10-30,R03,SARIMA,4.41503582489825
2019-10-31,R03,SARIMA,4.454474126018937
2019-11-01,R03,SARIMA,4.414893745480749
2019-11-02,R03,SARIMA,4.4112209030012455
2019-11-03,R03,SARIMA,4.397588379711329
2019-11-04,R03,SARIMA,4.388340302505768
2019-11-05,R03,SARIMA,4.4341336927931145
2019-11-06,R03,SARIMA,4.39994231717446
2019-11-07,R03,SARIMA,4.382815619601699
2019-10-09,R06,SARIMA,2.1469125586196136
2019-10-10,R06,SARIMA,2.083329380978153
2019-10-11,R06,SARIMA,2.1106898193691426
2019-10-12,R06,SARIMA,2.115703949956478
2019-10-13,R06,SARIMA,2.0654539276186585
2019-10-14,R06,SARIMA,2.102528778903908
2019-10-15,R06,SARIMA,2.1109780037627637
2019-10-16,R06,SARIMA,2.085737281521141
2019-10-17,R06,SARIMA,2.093511047619853
2019-10-18,R06,SARIMA,2.085874346324888
2019-10-19,R06,SARIMA,2.084437890297812
2019-10-20,R06,SARIMA,2.0988010904100465
2019-10-21,R06,SARIMA,2.088203852734763
2019-10-22,R06,SARIMA,2.0857887807478184
2019-10-23,R06,SARIMA,2.093003426195713
2019-10-24,R06,SARIMA,2.090781422971617
2019-10-25,R06,SARIMA,2.0929642484751683
2019-10-26,R06,SARIMA,2.0933748358124915
2019-10-27,R06,SARIMA,2.0892693512182112
2019-10-28,R06,SARIMA,2.092298397369336
2019-10-29,R06,SARIMA,2.0929887059885157
2019-10-30,R06,SARIMA,2.090926518209464
2019-10-31,R06,SARIMA,2.091561641297194
2019-11-01,R06,SARIMA,2.0909377165167267
2019-11-02,R06,SARIMA,2.0908203568771744
2019-11-03,R06,SARIMA,2.0919938421466244
2019-11-04,R06,SARIMA,2.0911280391074945
2019-11-05,R06,SARIMA,2.090930725738663
2019-11-06,R06,SARIMA,2.091520168209091
2019-11-07,R06,SARIMA,2.0913386287170717
