category,model,MAE,RMSE,sMAPE,WAPE,MASE,MASE_rank,MAE_rank,sMAPE_rank,overall_rank_score
M01AB,LightGBM,2.257832603450176,2.865834732384605,44.77526036590431,42.17016426704183,0.7615473992627889,1.0,3.0,1.0,5.0
M01AB,XGBoost,2.27248943153469,2.891652552934459,45.31763223922446,42.44391390065651,0.7664910205446092,2.0,4.0,2.0,8.0
M01AB,ETS,2.221277326379455,2.793687740794059,47.02539124469653,43.5356626046616,0.7823675683593075,3.0,1.0,3.0,7.0
M01AB,SARIMA,2.2265421699228183,2.7979997766257134,47.16838219073404,43.68791560041259,0.7840979721817356,4.0,2.0,4.0,10.0
M01AB,Moving Average,2.27414092813082,2.875448229266741,48.42453460986253,44.56075617284999,0.800850977648211,5.0,5.0,5.0,15.0
M01AB,Seasonal Naive,3.039915509262963,3.839248581286252,63.72610322958321,59.82101992809018,1.0701572559389063,6.0,6.0,7.0,19.0
M01AB,Naive,3.1050135030898147,3.752492108215623,63.6609414639037,61.21892309940712,1.0935387535384489,7.0,7.0,6.0,20.0
M01AE,SARIMA,1.6869461000266728,2.1025218191331088,47.08587768930612,44.72675770814587,0.7608136622854974,1.0,1.0,1.0,3.0
M01AE,ETS,1.6883261232287925,2.089540905155648,47.19487971584206,44.77114990752253,0.7614366245077294,2.0,2.0,2.0,6.0
M01AE,Moving Average,1.7531048941800265,2.210301441654138,48.89771281703288,46.82468472741756,0.7906609275752357,3.0,3.0,3.0,9.0
M01AE,LightGBM,1.8187251861533051,2.307512311741784,50.7740719798228,48.56433884289702,0.803259591594315,4.0,4.0,4.0,12.0
M01AE,Seasonal Naive,2.182254398147222,2.693201362934469,62.50532488261322,58.17894876527852,0.984158133987682,5.0,5.0,7.0,17.0
M01AE,Naive,2.206459413578704,2.674409062094181,62.07761031060456,59.57545172231278,0.9950836230445532,6.0,6.0,6.0,18.0
M01AE,XGBoost,2.335594383517444,2.8181327006132277,58.57793905049026,62.36599014753366,1.031540446526844,7.0,7.0,5.0,19.0
N02BA,SARIMA,1.6432731265404634,2.0465831201731883,54.62877176851189,49.57410791736035,0.634635689522933,1.0,3.0,2.0,6.0
N02BA,ETS,1.6438943908438512,2.0525562581014185,54.88727289381541,49.55949708831409,0.6348779489647793,2.0,4.0,3.0,9.0
N02BA,LightGBM,1.554684100020444,2.0188833647834605,54.48523671133783,49.89211239460665,0.6583284675438034,3.0,1.0,1.0,5.0
N02BA,Moving Average,1.717838955017328,2.1406084906928915,57.14110355903139,51.36834901684778,0.663159355334755,4.0,5.0,5.0,14.0
N02BA,XGBoost,1.619494926792452,2.0645475434351264,56.15244302226515,51.97198769123693,0.6857725073127198,5.0,2.0,4.0,11.0
N02BA,Naive,2.0921180555620373,2.550012184599227,74.54747839150386,62.35723398698492,0.8078629005531623,6.0,6.0,6.0,18.0
N02BA,Seasonal Naive,2.344425154307407,2.9264091774686887,79.26662506774794,71.01187335631724,0.90597971920927,7.0,7.0,7.0,21.0
N02BE,LightGBM,8.614190611119247,11.28591833006147,32.769040317881014,32.125550343668706,0.6920226407847979,1.0,1.0,1.0,3.0
N02BE,XGBoost,10.100102204538397,12.248307857280478,37.80035400852781,37.66707245011133,0.811393631197217,2.0,2.0,5.0,9.0
