category,model,config_id,n_estimators,max_depth,learning_rate,subsample,colsample_bytree,MAE,RMSE,MAPE,sMAPE,WAPE,MASE,num_leaves,validation_rank
M01AE,LightGBM,3,500,,0.05,0.8,0.8,1.6195125960682037,2.122825249339785,124.89916629481104,45.51168384933214,41.16763290095068,0.7137732484430266,31.0,4.0
M01AE,LightGBM,4,700,,0.03,0.8,0.8,1.6368774927668697,2.154885922894012,122.09681801890495,46.29151067963975,41.60904452960312,0.7214265379299843,31.0,5.0
M01AE,XGBoost,1,300,3.0,0.05,0.8,0.8,1.5848491967117193,2.1013958099326295,120.1387402046783,44.71921388522363,40.286497364696594,0.6984959315386549,,1.0
M01AE,XGBoost,2,500,3.0,0.05,0.8,0.8,1.5956070684893375,2.1135206946491727,120.56711076374911,45.32587533574658,40.55995995906707,0.7032372846492673,,2.0
M01AE,XGBoost,5,500,5.0,0.03,0.8,0.8,1.6037445246561277,2.090439692193898,122.34277613697672,45.43459185062615,40.76681219907761,0.7068237331500902,,3.0
M01AE,XGBoost,4,700,4.0,0.03,0.8,0.8,1.6160125049466831,2.110121077725951,122.61296140772708,45.7278128648452,41.07866140004327,0.7122306414786105,,4.0
M01AE,XGBoost,3,500,4.0,0.05,0.8,0.8,1.6349944435280404,2.131650126990693,125.56615185799981,46.251129564325495,41.56117785663822,0.7205966152881719,,5.0
N02BA,LightGBM,1,300,,0.05,0.8,0.8,1.7188663625682228,2.1138695469357343,112.22056283062128,64.57199603471012,59.21648899555255,0.7178187981035988,15.0,1.0
N02BA,LightGBM,2,500,,0.05,0.8,0.8,1.727309239998969,2.1286705274496045,111.44702021832352,64.84220650576458,59.50735370112603,0.7213446429638235,15.0,2.0
N02BA,LightGBM,4,700,,0.03,0.8,0.8,1.7787270189724262,2.178004543890786,117.84525069778962,65.21424913570581,61.278742337883216,0.742817311873777,31.0,3.0
N02BA,LightGBM,3,500,,0.05,0.8,0.8,1.7819912610535191,2.183287670584729,119.0577142869549,65.69368513184409,61.391198407466796,0.7441804977376671,31.0,4.0
N02BA,LightGBM,5,500,,0.03,0.8,0.8,1.8121682413283715,2.220329963627094,124.48230906008494,65.6849408639691,62.430822463926205,0.7567827594277063,63.0,5.0
N02BA,XGBoost,3,500,4.0,0.05,0.8,0.8,1.7008990090468834,2.0997596497058946,106.78621107628547,64.17775509013546,58.59749753976195,0.7103154200687177,,1.0
N02BA,XGBoost,5,500,5.0,0.03,0.8,0.8,1.7440734868762138,2.138112075387565,115.61661026468776,64.4877653879068,60.08489705315361,0.7283455895217373,,2.0
N02BA,XGBoost,1,300,3.0,0.05,0.8,0.8,1.7700957026061426,2.1580714502063407,118.09701809775093,65.20256922915766,60.981385741843084,0.7392127726989919,,3.0
N02BA,XGBoost,4,700,4.0,0.03,0.8,0.8,1.7725518901229362,2.176456923591433,117.44044287717308,65.16529415048251,61.0660036064,0.7402385054782333,,4.0
N02BA,XGBoost,2,500,3.0,0.05,0.8,0.8,1.7896928543331978,2.1876242383124063,120.57637624558622,65.50727063064863,61.656525208680655,0.7473967736226881,,5.0
N02BE,LightGBM,5,500,,0.03,0.8,0.8,9.29999070945267,12.416460432567124,32.17537523107071,32.856235091340174,30.56124537567148,0.7504337233841221,63.0,1.0
N02BE,LightGBM,4,700,,0.03,0.8,0.8,9.306535327821043,12.348131630321777,32.95136474046934,33.013043456006585,30.582752030257993,0.7509618209364469,31.0,2.0
N02BE,LightGBM,1,300,,0.05,0.8,0.8,9.382264892236737,12.514887598773306,32.817905514968835,33.212308679203844,30.831611397176317,0.7570725817716125,15.0,3.0
N02BE,LightGBM,3,500,,0.05,0.8,0.8,9.384831181429956,12.440923604362444,33.14985540701197,33.32782562229919,30.840044630734198,0.7572796604682169,31.0,4.0
N02BE,LightGBM,2,500,,0.05,0.8,0.8,9.433709074032794,12.5586422259134,32.8844324627703,33.55184524352056,31.000665142727048,0.7612237094552591,15.0,5.0
N02BE,XGBoost,1,300,3.0,0.05,0.8,0.8,9.085865828883147,12.02045949381116,32.87537767677211,32.086099857016166,29.857597036596236,0.733155584468172,,1.0
N02BE,XGBoost,3,500,4.0,0.05,0.8,0.8,9.103840900903462,12.160822518408716,32.797308978438004,32.445004541320536,29.916665975890965,0.7346060268014737,,2.0
N02BE,XGBoost,2,500,3.0,0.05,0.8,0.8,9.21951148662348,12.18270480125651,33.455215706100816,32.436777897846746,30.29677787743771,0.743939703687803,,3.0
N02BE,XGBoost,4,700,4.0,0.03,0.8,0.8,9.222532172835193,12.129533076913415,33.65252447625743,32.861125039510355,30.306704331710964,0.7441834485335614,,4.0
N02BE,XGBoost,5,500,5.0,0.03,0.8,0.8,9.289333810623578,12.264245225527192,33.59231209490605,32.85591548334761,30.526225114873956,0.7495737981951738,,5.0
N05B,LightGBM,4,700,,0.03,0.8,0.8,3.677374581993174,4.4919089987271255,62.68371186394231,43.865686093183506,42.36756272182477,0.7253623598116624,31.0,1.0
N05B,LightGBM,1,300,,0.05,0.8,0.8,3.6831795986184828,4.450521753763387,61.194336623638115,43.938495838521746,42.43444315526723,0.7265073996938377,15.0,2.0
N05B,LightGBM,2,500,,0.05,0.8,0.8,3.7584525929145984,4.528624354058638,61.994383630455154,44.670853328865654,43.30167417457006,0.7413550023938941,15.0,3.0
N05B,LightGBM,3,500,,0.05,0.8,0.8,3.831673526698694,4.709536263889314,65.62739589260408,44.98660558113713,44.1452631088708,0.7557978360332286,31.0,4.0
N05B,LightGBM,5,500,,0.03,0.8,0.8,4.110090263334838,5.021323883844117,72.74636891219457,46.47240238283815,47.352942470662704,0.8107155542570803,63.0,5.0
