model,MAE,RMSE,sMAPE,WAPE,MASE
XGBoost,3.395671747630589,4.426065735509456,68.35221120552644,60.5661361966563,0.8619198276918305
LightGBM,3.329352814800165,4.43070340153767,66.96130103326601,63.39321184126499,0.8793644320933547
