category,historical_mean,historical_std,recent_30d_mean,forecast_30d_mean,forecast_min,forecast_max,forecast_vs_recent_ratio,status
M01AB,5.033683325419753,2.737578507424411,5.424333333333334,6.1149194732782615,4.415609321218535,7.425209154879383,1.1273126294988498,OK
M01AE,3.8958303161600187,2.133336599242324,3.9203333333333337,3.8918023134999475,3.5506733739252168,4.688706064851592,0.9927222974661883,OK
N02BA,3.880441120608262,2.384010236621129,3.1133333333333337,2.958912875157237,2.889239262328568,3.0280637012536142,0.9504002810997548,OK
N02BE,29.917095303105413,15.590965539762392,36.92916666666667,33.22828096864945,25.88492015803562,43.95018165424369,0.8997842076583401,OK
N05B,8.853626543196107,5.60560474692992,8.486666666666666,8.927551932534897,6.767875290421922,10.805059564677196,1.0519503455461388,OK
N05C,0.5935224754667616,1.0929883200525337,0.5333333333333333,1.0629123411112664,0.3572347362035449,1.8400179313648737,1.9929606395836246,HIGH_INCREASE
R03,5.512261593861349,6.428736372389844,4.613888888900001,4.378280036553814,3.792995763302416,4.669439978376548,0.9489348664392396,OK
R06,2.90019824311491,2.415815904650415,2.9243333333333337,2.0941262911238536,2.0654539276186585,2.1469125586196136,0.7161038268974763,OK
